Name,mach,aoa-deg,beta,vx,vy,vz,temp,dens,pres,visc,sos,velocity,drag_coeff,Iterations,drag_force,lift_coeff,lift_force,moment,roll_mom,yaw_mom,q,sideforce,Last Updated
Case_1,5.201523385,6.053234906,4.105274113,0.99187285,-0.071589259,0.105181882,288.15,1.225,101325,0.0000179,340.2626486,1769.88412,0.099900567,15014,1245.824946,0.730403667,9108.608093,2623.12902,3.994822534,-1729.736319,-19121.5395,-4185.3911,"Nov 24 2025, 05:42PM"
Case_10,6.033042556,8.095347728,0.411743402,0.990009531,-0.007186216,0.140817208,288.15,1.225,101325,0.0000179,340.2626486,2052.81903,0.077722603,14978,1303.911388,0.960282563,16110.15732,4917.803043,0.463594099,-230.4562434,-25436.03604,-515.16826,
Case_11,6.859827574,-9.701417858,2.663700464,0.98463427,-0.046473598,-0.168331696,288.15,1.225,101325,0.0000179,340.2626486,2334.14309,0.153762172,15014,3335.061635,-1.236395673,-26817.10158,-11409.3567,102.3991409,-3380.880415,-32502.50721,-8653.6488,
Case_12,7.496178038,-3.49237872,3.956797801,0.995763701,-0.06900427,-0.06077057,288.15,1.225,101325,0.0000179,340.2626486,2550.66939,0.0994796,15014,2576.569,-0.507086656,-13133.78579,-6061.405353,154.9844443,-4589.706191,-38892.50626,-11032.582,
Case_13,7.10671772,-6.591338224,2.998487762,0.992030095,-0.052309599,-0.114629822,288.15,1.225,101325,0.0000179,340.2626486,2418.15059,0.123808716,15014,2882.15487,-0.841455482,-19588.32208,-8584.913051,116.231363,-3655.840993,-34924.14,-9100.5826,
Case_14,5.490264453,1.418949246,1.192004956,0.999477017,-0.02080291,0.024757446,288.15,1.225,101325,0.0000179,340.2626486,1868.13192,0.101545412,15014,1410.830358,0.089022282,1236.839122,-210.603454,14.91505232,-555.006015,-21528.64248,-1377.392,
Case_15,5.89792671,-2.502714684,4.514906355,0.995946001,-0.078718456,-0.04353122,288.15,1.225,101325,0.0000179,340.2626486,2006.84416,0.114381018,15014,1833.921167,-0.456434951,-7318.222293,-3382.505086,113.7921317,-3352.534392,-24436.1418,-8288.1861,
Case_16,5.517542836,-0.006673715,1.021841378,0.999840963,-0.017833551,-0.00011646,288.15,1.225,101325,0.0000179,340.2626486,1877.41373,0.1051988,15014,1476.14892,-0.091387623,-1282.350571,-1113.321364,19.26410153,-539.5011667,-21704.33783,-1343.0914,
Case_17,6.165265349,-4.185392975,2.19299183,0.996602674,-0.038265583,-0.072930486,288.15,1.225,101325,0.0000179,340.2626486,2097.80951,0.115684126,15014,2026.773771,-0.606431817,-10624.62196,-4763.236682,64.75879671,-1931.601373,-26621.57353,-4806.9865,
Case_18,7.624158087,2.083637254,3.032523118,0.99793941,-0.052902805,0.036307401,288.15,1.225,101325,0.0000179,340.2626486,2594.21622,0.070124788,15014,1878.811918,0.09041876,2422.536303,-198.3612958,68.53297626,-2497.83522,-40592.17329,-5775.1281,
Case_19,5.015374269,-8.631747836,4.775426453,0.985241346,-0.083250451,-0.149562204,288.15,1.225,101325,0.0000179,340.2626486,1706.54453,0.175075259,13233,2029.828911,-1.344240511,-15585.17329,-6353.15914,96.24229615,-3739.233158,-17722.99813,-9722.6234,
Case_2,7.520895304,0.346837286,2.669595377,0.99889643,-0.046576372,0.006046846,288.15,1.225,101325,0.0000179,340.2626486,2559.07975,0.075934614,15014,1979.733964,-0.088386045,-2304.362227,-1914.454241,87.67691915,-2386.657507,-39627.03445,-5553.8999,
Case_20,6.376202883,6.855702202,3.238974546,0.991263911,-0.056500666,0.119178575,288.15,1.225,101325,0.0000179,340.2626486,2169.58368,0.076434335,13177,1432.32214,0.764578749,14327.63268,4294.932448,2.090020038,-1968.946501,-28204.46075,-4577.8505,
Case_21,7.342541536,-1.790091797,2.47599107,0.998578845,-0.043200748,-0.03120875,288.15,1.225,101325,0.0000179,340.2626486,2498.3926,0.087413689,15014,2172.202117,-0.310447349,-7714.517013,-3919.539136,92.11956573,-2478.400125,-37618.7992,-5876.0539,
