Name,mach,aoa-deg,beta,vx,vy,vz,temp,dens,pres,visc,sos,velocity,drag_coeff,Iterations,drag_force,lift_coeff,lift_force,moment,roll_mom,yaw_mom,q,Last Updated
Case_1,5.201523385,6.053234906,4.105274113,0.99187285,-0.071589259,0.105181882,288.15,1.225,530,0.0000179,340.2626486,1769.884123,0.100498533,15014,1253.281974,0.733989309,9153.323376,2636.235811,4.180146316,-1738.080534,-18826.0268,"Nov 19 2025, 11:15AM"
Case_10,6.033042556,8.095347728,0.411743402,0.990009531,-0.007186216,0.140817208,288.15,1.225,530,0.0000179,340.2626486,2052.819039,0.078101233,15014,1310.263457,0.965120337,16191.31813,4943.212638,0.566170549,-231.3753157,-25116.84526,
Case_11,6.859827574,-9.701417858,2.663700464,0.98463427,-0.046473598,-0.168331696,288.15,1.225,530,0.0000179,340.2626486,2334.143099,0.154666087,14972,3354.667318,-1.242728738,-26954.46411,-11468.63807,102.6453896,-3398.857644,-32156.12835,
Case_12,7.496178038,-3.49237872,3.956797801,0.995763701,-0.06900427,-0.06077057,288.15,1.225,530,0.0000179,340.2626486,2550.669393,0.099962193,15014,2589.068374,-0.509722869,-13202.06497,-6092.993788,155.5711193,-4614.410863,-38494.57718,
Case_13,7.10671772,-6.591338224,2.998487762,0.992030095,-0.052309599,-0.114629822,288.15,1.225,530,0.0000179,340.2626486,2418.150594,0.12449048,15014,2898.025703,-0.845748118,-19688.25078,-8628.811556,116.8366311,-3674.951675,-34568.99521,
Case_14,5.490264453,1.418949246,1.192004956,0.999477017,-0.02080291,0.024757446,288.15,1.225,530,0.0000179,340.2626486,1868.131924,0.102098232,15014,1418.511012,0.089337495,1241.218558,-211.9158469,14.9348996,-557.9180577,-21189.14109,
Case_15,5.89792671,-2.502714684,4.514906355,0.995946001,-0.078718456,-0.04353122,288.15,1.225,530,0.0000179,340.2626486,2006.844163,0.11499579,15014,1843.77807,-0.458705281,-7354.623484,-3399.517064,114.214047,-3370.027977,-24103.78766,
Case_16,5.517542836,-0.006673715,1.021841378,0.999840963,-0.017833551,-0.00011646,288.15,1.225,530,0.0000179,340.2626486,1877.41373,0.1057542,15014,1483.94229,-0.091903125,-1289.584092,-1119.056365,19.3381633,-542.3852216,-21366.25671,
Case_17,6.165265349,-4.185392975,2.19299183,0.996602674,-0.038265583,-0.072930486,288.15,1.225,530,0.0000179,340.2626486,2097.80951,0.116310642,15014,2037.750269,-0.609431828,-10677.18184,-4787.41557,64.97488461,-1941.46103,-26294.21163,
Case_18,7.624158087,2.083637254,3.032523118,0.99793941,-0.052902805,0.036307401,288.15,1.225,530,0.0000179,340.2626486,2594.21622,0.070477694,15014,1888.267129,0.09077911,2432.190951,-200.0660741,68.64622719,-2510.741505,-40129.94755,
Case_19,5.015374269,-8.631747836,4.775426453,0.985241346,-0.083250451,-0.149562204,288.15,1.225,530,0.0000179,340.2626486,1706.54453,0.175998904,15014,2040.537686,-1.3481941,-15631.01134,-6375.931369,96.55951327,-3755.574271,-17446.53377,
Case_2,7.520895304,0.346837286,2.669595377,0.99889643,-0.046576372,0.006046846,288.15,1.225,530,0.0000179,340.2626486,2559.079755,0.076314756,15014,1989.644861,-0.088864665,-2316.840597,-1923.412238,87.96061772,-2398.651394,-39150.16773,
Case_20,6.376202883,6.855702202,3.238974546,0.991263911,-0.056500666,0.119178575,288.15,1.225,530,0.0000179,340.2626486,2169.58368,0.076829301,13480,1439.723514,0.768235706,14396.16132,4315.381942,2.327663821,-1977.691511,-27816.38994,
Case_21,7.342541536,-1.790091797,2.47599107,0.998578845,-0.043200748,-0.03120875,288.15,1.225,530,0.0000179,340.2626486,2498.3926,0.087698842,15014,2179.28808,-0.31232668,-7761.217782,-3945.551128,92.61098646,-2493.534566,-37224.15956,
Case_22,5.731209743,-5.007686132,0.997170269,0.996032131,-0.017403026,-0.08727616,288.15,1.225,530,0.0000179,340.2626486,1950.1166,0.12798637,15014,1937.689948,-0.723451966,-10952.92888,-4795.335638,26.29939384,-824.7687792,-22782.11441,
Case_23,5.186904671,7.918930314,4.460266513,0.987464382,-0.077767735,0.137354558,288.15,1.225,530,0.0000179,340.2626486,1764.90992,0.097322104,17181,1206.857464,1.056771974,13104.6607,4037.675484,7.778670347,-1985.58061,-18572.49435,
Case_24,6.586569359,4.727177068,3.582084866,0.994651367,-0.062478455,0.082250228,288.15,1.225,530,0.0000179,340.2626486,2241.16353,0.077179628,15014,1543.295816,0.447076158,8939.804265,2352.583463,16.63611581,-2240.74428,-29988.38247,
Case_25,7.76873151,4.163448965,1.671757574,0.996936481,-0.029173534,0.072571057,288.15,1.225,530,0.0000179,340.2626486,2643.4091,0.063699743,15014,1772.008779,0.33581136,9341.649538,2262.33919,11.61956622,-1297.951415,-41538.31481,
Case_26,6.934838339,-2.951792038,0.135128745,0.998670439,-0.002358439,-0.05149556,288.15,1.225,530,0.0000179,340.2626486,2359.66646,0.096856132,15014,2146.978852,-0.430701046,-9547.212107,-4557.51447,4.873884579,-133.060878,-33205.27895,
Case_27,7.061453338,8.841193162,0.607231779,0.988062643,-0.010597995,0.153687658,288.15,1.225,530,0.0000179,340.2626486,2402.74881,0.064045807,17275,1471.996754,1.02328296,23518.623,7414.348783,1.952622759,-457.3370265,-34100.8295,
Case_28,6.444290998,3.123008522,3.785759723,0.996336023,-0.066025905,0.054360916,288.15,1.225,530,0.0000179,340.2626486,2192.75152,0.08254488,15014,1580.041117,0.237529083,4546.686801,807.9810634,41.69206135,-2325.267217,-28836.29094,
Case_29,5.653707146,-1.274687281,3.364114348,0.998029738,-0.058681142,-0.022207321,288.15,1.225,530,0.0000179,340.2626486,1923.74536,0.110610613,15014,1629.638881,-0.283321629,-4174.210135,-2176.342462,75.40870904,-2114.858344,-22295.92204,
Case_3,5.96747696,-5.426515009,1.479678374,0.995186348,-0.025822389,-0.094537489,288.15,1.225,530,0.0000179,340.2626486,2030.509515,0.127187623,15014,2087.633769,-0.76441282,-12546.92855,-5472.015673,42.53683964,-1329.372604,-24643.99323,
Case_30,7.953191842,-8.79637507,1.888305996,0.987701408,-0.032951191,-0.152840271,288.15,1.225,530,0.0000179,340.2626486,2706.17412,0.135921277,15014,3962.765054,-1.030457994,-30042.85285,-13201.63342,94.21195459,-2935.556742,-42895.33369,
Case_4,7.88343221,1.209206227,0.200723648,0.99977117,-0.003503281,0.021102934,288.15,1.225,530,0.0000179,340.2626486,2682.437523,0.067340423,15014,1929.009977,0.015678918,449.1327584,-991.7293447,6.487949595,-180.4402846,-43181.63214,
